date,region,product,quantity,amount
2024-03-05,华东,冰丝防晒衣,120,35880
2024-03-08,华北,透气防晒服,85,21250
2024-03-12,华南,防紫外线外套,150,59700
2024-03-15,西南,冰丝防晒衣,95,28310
2024-03-18,西北,儿童防晒衣,110,19780
2024-03-22,东北,透气防晒服,78,19500
2024-03-25,华东,防紫外线外套,200,79600
2024-03-28,华北,冰丝防晒衣,135,40365
2024-04-02,华南,透气防晒服,165,41250
2024-04-05,西南,儿童防晒衣,140,25160
2024-04-08,华东,防紫外线外套,175,69650
2024-04-12,西北,冰丝防晒衣,105,31395
2024-04-15,东北,透气防晒服,92,23000
2024-04-18,华北,儿童防晒衣,180,32360
2024-04-22,华南,防紫外线外套,220,87560
2024-04-25,华东,冰丝防晒衣,190,56810
2024-04-28,西南,透气防晒服,158,39500
2024-05-02,东北,儿童防晒衣,175,31460
2024-05-05,华北,防紫外线外套,165,65670
2024-05-08,西北,冰丝防晒衣,145,43355
2024-05-12,华东,透气防晒服,210,52500
2024-05-15,华南,儿童防晒衣,195,35060
2024-05-18,西南,防紫外线外套,185,73630
2024-05-22,东北,冰丝防晒衣,168,50232
2024-05-25,华北,透气防晒服,205,51250
2024-05-28,华东,儿童防晒衣,220,39560
2024-06-02,华南,防紫外线外套,250,99500
2024-06-05,西南,冰丝防晒衣,195,58305
2024-06-08,西北,透气防晒服,175,43750
2024-06-12,东北,儿童防晒衣,188,33764
2024-06-15,华东,防紫外线外套,230,91540
2024-06-18,华北,冰丝防晒衣,215,64255
2024-06-22,华南,透气防晒服,240,60000
2024-06-25,西南,儿童防晒衣,225,40480
2024-06-28,西北,防紫外线外套,195,77610
2024-07-02,华东,冰丝防晒衣,260,77740
2024-07-05,东北,透气防晒服,198,49500
2024-07-08,华北,儿童防晒衣,245,44060
2024-07-12,华南,防紫外线外套,280,111440
2024-07-15,西南,冰丝防晒衣,225,67275
2024-07-18,华东,透气防晒服,255,63750
2024-07-22,西北,儿童防晒衣,195,35060
2024-07-25,东北,防紫外线外套,175,69650
2024-07-28,华北,冰丝防晒衣,235,70265
2024-08-02,华南,透气防晒服,215,53750
2024-08-05,西南,儿童防晒衣,205,36860
2024-08-08,华东,防紫外线外套,275,109450
2024-08-12,西北,冰丝防晒衣,185,55285
2024-08-15,东北,透气防晒服,168,42000
2024-08-18,华南,冰丝防晒衣,210,62790
2024-08-22,华北,儿童防晒衣,198,35604
2024-08-25,西南,防紫外线外套,180,71640
