date,region,product,quantity,amount
2024-01-01,华东,基础款防晒衣,156,46644
2024-01-02,华北,冰丝防晒衣,128,51072
2024-01-03,华南,儿童防晒衣,189,33993
2024-01-04,华东,专业防晒衣,95,56905
2024-01-05,西南,基础款防晒衣,142,42458
2024-01-06,华北,冰丝防晒衣,167,66666
2024-01-07,华南,儿童防晒衣,203,36519
2024-01-08,华东,专业防晒衣,88,52712
2024-01-09,华中,基础款防晒衣,134,40066
2024-01-10,西南,冰丝防晒衣,156,62244
2024-01-11,华北,儿童防晒衣,178,31998
2024-01-12,华南,专业防晒衣,102,61098
2024-01-13,华东,基础款防晒衣,189,56511
2024-01-14,华中,冰丝防晒衣,145,57855
2024-01-15,西南,儿童防晒衣,167,30047
2024-01-16,华北,专业防晒衣,115,68970
2024-01-17,华南,基础款防晒衣,172,51428
2024-01-18,华东,冰丝防晒衣,198,78996
2024-01-19,华中,儿童防晒衣,154,27694
2024-01-20,西南,专业防晒衣,123,73671
2024-01-21,华北,基础款防晒衣,205,61395
2024-01-22,华南,冰丝防晒衣,176,70224
2024-01-23,华东,儿童防晒衣,188,33812
2024-01-24,华中,专业防晒衣,108,64692
2024-01-25,西南,基础款防晒衣,165,49335
